question,answer,image_id
how many pairs of socks are on the toy table,1,image424
how many tape dispensers are on the cabinet below the brown board,3,image450
what color are the cabinets,brown,image450
how many pens are on the counter,2,image453
how many four leg objects are in this picture,4,image478
what is the largest black object in this picture,sofa,image488
what color is the side table on the left side of the sofa,brown,image488
how many electrical outlets are behind the lamp shade,2,image488
how many white plastic boxes are close to the wall,3,image491
how many dark blue objects are on the bed,1,image534
how many shelves does the bookcase have,4,image542
what color is the lamp shade in front of the window,white,image546
what is on the left side of the 3 tier round table,window,image548
what color is the door frame,brown,image548
how many sculptures are on the top of the round table,2,image548
how many drawers does the filing cabinet have,4,image552
what color is the file container on the filing cabinet,white,image552
what color is the cabinet above the kitchen counter,brown,image577
how many frames are on the wall above the chair and the lamp shade,3,image588
what color is the coffee table in front of the sofa,brown,image588
what color are the candles in the candlesticks,red,image590
how many stairs are on the right side of the stair railing,2,image601
how many side chairs are on the right side of the dining table in front of the window,4,image1404
what is on the right side of the bookshelf in front of the curtain,chair,image381
how many lamps are above the cash desk,3,image114
how many lamps are on the ceiling,3,image797
what are behind the armchairs on the left and right sides of the television,lamp,image1232
how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
what color is the dresser below the salt shaker,brown,image1342
what color is the ball on the floor on the right side of the bed,red,image1185
how many frames are on the wall of the kitchen,2,image1351
what color is the lamp shade close to the sofa in front of the curtain,white,image546
what is the white object at the end of the room below the pink light,door,image275
how many gray computer chairs are in front of blue chairs,1,image290
how many bathroom basins are in this picture,2,image661
how many candlesticks are on the shelf of the fireplace,2,image1380
what color is the chair base in front of the desk,red,image986
what color is the lamp shade base on the night stand on the left side of the bed,red,image982
what color is the bath mat,white,image730
how many red objects are on the cabinets,1,image450
how many remote controls are on the tv stand,1,image259
what color is the cabinet above the kitchen counter,brown,image577
how many pictures are above the dark brown couch on the right side of the bookshelf,2,image51
what color is the cooking pan on the oven,black,image892
how many frames are on the wall behind the chairs,3,image1346
how many towels are hanging on the towel rods,3,image675
how many lamps are reflected in the mirror,1,image1016
what color is the bedside lamp behind the bottle of water,black,image73
how many frames are on the wall above the lamp shade and the armchair,3,image588
how many hight stools are in front of the kitchen counter,2,image263
what color are the dining chair seats,brown,image1418
what color is the table fan on the floor on the right side of the wall,black,image832
what color are the cabinets in this picture,brown,image853
what is the red object on the blanket on the left side of the night stand,pillow,image978
what is dominant color,brown,image383
how many black chairs are there,1,image957
what is the object on the floor in the corner,lamp,image148
what is the object on the floor in front of the wall,sofa,image50
what is the object on the towel rod,towel,image723
what is the object on the stool,television,image1138
what is the object on the floor below the sink,cabinet,image682
how many beds are there,2,image1199
what is the object on the floor behind the toilet,garbage_bin,image730
what are the objects kept on the shelves,books,image108
how many beds are there,3,image1097
what are the objects close to the wall on the racks,books,image53
what is the largest object,sofa,image601
what is the object on the table,television,image980
what is the object on the floor in front of the cabinet,garbage_bin,image877
what is the object on the floor surrounded by sofas,table,image1429
what is the object on the floor left of the table,sofa,image1351
what is the object on the table right of the sofa,lamp,image588
what is the black object on the floor behind the table,sofa,image1231
what is object close to the wall above the sofa,picture,image50
what is the object close to the wall left of the screen,window,image911
what is the largest object on the floor,sofa,image1325
what is the object on the table,television,image147
what is the largest object,sofa,image1269
what is the object on the floor in front of the window,sofa,image1267
what is the object on the table in the corner,lamp,image988
what are the objects kept close on the shelves,books,image106
how many doors are there,1,image1037
what is the object right and left of the sofas,television,image1232
what is the object close to the wall behind the sofa,mirror,image1086
what is the object on the floor in front of the desk,chair,image528
what are the objects in the shelves,books,image1251
what are the objects on the bookshelf,books,image922
what is the largest object,table,image577
what is the object on the floor in front of the door,chair,image925
what are the object kept close on the shelves,books,image1040
how many chairs are there,2,image629
what are the objects on the shelves,books,image646
what is the object on the table in front of the wall,lamp,image1027
what is the object on the racks that are close to the wall,photo,image989
what is the largest object,sofa,image1224
what is the largest object,bed,image953
what is the object close to the wall below the window,picture,image1161
what are the objects on the floor,books,image998
what is the largest object,bed,image1029
what is the object on the floor close to the wall,cabinet,image1403
what is the largest object,sofa,image1241
what is the object close to the wall right side of the t shirt,window,image1066
how many chairs are there,4,image879
what is the largest object,sofa,image1333
how many wall decorations are close to the wall,2,image1352
what are the objects in the shelves,books,image51
what is the object on the stool,photo,image146
how many chairs are there,4,image864
what are the objects in the shelves,books,image104
how many beds are there,2,image1020
what is the object close to the wall above the table,television,image1213
what is the object on the floor in front of the wall,sofa,image1326
what are the objects in the shelves,books,image113
how many monitors are the,1,image13
what is the object on the table,lamp,image941
what are the objects close to the wall,photo,image1173
what is the object on the bed,pillow,image940
what is the object on the shelves on the side rack,photo,image103
what is the largest object,table,image1357
what is the object on the floor in front of the table,garbage_bin,image496
what is the object on the floor in front of the cabinet,garbage_bin,image876
what is the object close to the wall,picture,image58
what is the object in the corner on the counter,mirror,image674
what is the object on the on the wall above the sink,mirror,image721
what is the object close to the towel rod,towel,image659
what is the object on the wall left and right of the window,photo,image913
what is the largest object,bed,image909
how many stools are there,2,image105
what is the object on the floor left and right of the chairs,table,image828
what is the object in the image912 close to the wall,television,image912
what is the largest object,sofa,image1252
what is the object close to the wall,photo,image1026
how many chairs are there,4,image1383
what is the largest black object,sofa,image1187
how many pictures are there close to the wall,3,image1440
what is the object on the floor in front of the counter,chair,image880
how many sofas are there,3,image630
what is the largest object,chair,image536
what is the wall decoration close to the wall,picture,image1322
how many pillows are there,2,image1133
what are the objects on the shelf,books,image979
what is the object behind the table close to the wall,window,image596
what is the object close to the wall above the table,television,image643
how many chairs are there,4,image900
what is object on the floor mat,table,image1242
what is the object close to the wall above the cabinet,mirror,image923
what is the largest object,bed,image1014
what is the object in the shelves,towel,image715
what is the object on the floor in front of the wall,bed,image987
how many monitors are there on the table,3,image112
how many chairs are there,3,image467
what is the object on the floor in front of the wall,bed,image1169
what are the objects on the boxes,books,image93
what is the object on the table,television,image68
what is the object on the floor in front of the table,chair,image1324
what is the object close to the wall,photo,image1019
what is the object on the floor in front of the wall,cabinet,image1055
what is the object on the floor right of the shelves,garbage_bin,image990
what is the object close to the wall behind the table,picture,image1373
what are the objects on the shelves,books,image111
what is the object above the counter,mirror,image720
what is the object inside the cabinet,clothes,image530
what are the objects on the table,books,image1283
what is object on the floor in front of the table,chair,image552
how many beds are there,2,image1200
what is the largest object,table,image1344
what is the object on the towel rod,towel,image705
what is the object on the stool,television,image602
what is the largest object,sofa,image486
what is the object on the floor in front of the wall,cabinet,image1043
what is the object on the floor in front of the wall,cabinet,image75
what is the largest object,table,image1377
what is the object on the floor right of the table,lamp,image52
what is the object on the right of the table and in front of the door,chair,image3
how many doors are open,1,image3
what is the object hung close to the wall,picture,image4
what is the object in front of the table,chair,image4
what is the largest object,table,image5
how many chairs are there,4,image5
how many monitors are switched on,1,image7
how many chairs are there in the room with writing flipboard attached close to it,3,image7
how many garbage bins are not blue in color,1,image8
what is the object in front of the bright green curtain,chair,image8
what is the object in front of the photocopying machine attached close to the wall,shelves,image10
what is the blue object that is in front of the counter and to the right of the photocopying machine,garbage_bin,image10
what is the object that is placed right of the wall and left of the tall cabinet,garbage_bin,image12
what are glued close to the cabinet doors,photo,image13
what is the largest object,table,image19
how many lights are switched on,2,image19
what is the object placed in front of the wall to the right and left of the chairs,table,image20
what is the object close and left of the table,garbage_bin,image22
what is the object behind the see through room divider,sofa,image22
how many lights are on,3,image22
what are object on the top shelves of the shelf frame,books,image25
what is the largest object,table,image26
how many red chairs are there,5,image26
what is the object in front of the projector screen,table,image27
what is the largest object,cabinet,image45
what is the largest object,cabinet,image49
what is the object above the sink close to the wall,mirror,image49
what is the largest object,sofa,image50
what is the object close to the wall above the sofa,picture,image50
what is the object in front of the wall to the left side of the shelf frame,sofa,image51
what is the object in front of the wall and to the right of the rack,lamp,image52
what are objects kept on the rack close to the wall,books,image52
what is the object close to the wall above the rack,picture,image52
how many chairs are there,1,image53
what is the largest object,table,image54
what is the object right of the wall divider,garbage_bin,image54
what is the object in front of the wall,table,image55
how many pillows are there,2,image58
what is the object in front of the room divider and right side of the cot,table,image64
what is the largest object,cabinet,image66
what are the objects on the rack in the second and third shelves,books,image67
what is the largest object,television,image68
what are the objects in the middle rack of the shelf,books,image69
what is the object close to the wall above the cot,window,image70
what is the object on the window shelf,photo,image71
how many wall decorations are there close to the wall,3,image73
what is the object in front of the wall,bed,image74
what is the largest object,cabinet,image75
how many lamps are on,1,image81
what is the object right of the bed and in front wall,table,image81
what is the object that is largest,cabinet,image82
what are the objects on the shelf,clothes,image92
what are the objects kept on the boxes,books,image93
what are the objects hang close to the wall,clothes,image93
what are the objects hung close on the hangers,clothes,image94
how many glass racks are there,4,image97
what is the object on the shelf close to the wall,books,image98
what is the object on the shelves,books,image99
how many rack shelves are there with coffee mugs,2,image101
what are the objects on the shelves,books,image104
what are the objects on the shelves,books,image105
how many stools are there,2,image105
what are the objects on the shelves,books,image106
what are the objects on the shelves,books,image107
what is the object that is built on the floor close around the pillar,table,image107
what are the objects that are stacked on the shelf frames,books,image108
how many black machines are there on the counter,3,image109
how many trollies are there,2,image110
what is the blue object on the ground close to the pillar,garbage_bin,image110
how many monitors are there,4,image111
what are the objects on the shelves,books,image111
how many monitors are there,3,image112
what is object on the floor close to the counter,garbage_bin,image112
what are the objects on the shelves,books,image113
what is the object close to the pillar on the floor,table,image116
how many square tables are there,1,image120
how many coffee machines are there,2,image121
what is the blue object on the floor close to the floor,garbage_bin,image123
how many bottles are there on the counter,4,image124
what is the object on the floor close to the window wall,chair,image141
what is the object above the air vent,window,image141
how many brown bottles are there,4,image142
what is the object close to the wall above the air vent,window,image142
what are the objects close to the wall above the counter,cabinet,image144
how many laptops are there,1,image146
what is the object on which the laptop is kept,table,image146
what is the object on the side table,photo,image146
what is the object close to the wall behind the table,cabinet,image146
what is largest object,television,image147
what is the object kept on the side stool,photo,image147
what is the object on the floor close to the wall,lamp,image148
what is the frame on the floor close to the wall,photo,image148
what are the objects on the chair,clothes,image148
what is the object on the floor close to the wall corner,lamp,image149
how many wall decorations are there,3,image150
what is the largest object,chair,image150
how many chairs are there,3,image453
how many plants are there on the floor,3,image457
how many chairs are there,3,image467
what is the object on the floor close to the chairs,table,image467
what is the object on the floor,sofa,image483
how many sofas are there,2,image483
what are the objects in the shelves,books,image483
how many doors are open,1,image485
what is the largest object,sofa,image486
what is the largest object,sofa,image487
what is the object on the floor right of the shelf,chair,image494
what is the object on the floor in front of the table,garbage_bin,image496
what is the on the towel rod,towel,image497
what is the object left of the toilet,garbage_bin,image497
what is the object close to the wall above the sink,mirror,image499
what is the object left of the toilet,garbage_bin,image501
how many monitors are there in the table,2,image528
what is the object on the floor in front of the table,chair,image528
what is the object on the floor left of the table,bed,image528
what are the objects in the shelf,clothes,image530
what is the object on the floor left of the cabinet,bed,image530
how many cabinets are there,2,image530
what is the largest object,chair,image536
what is the object on the floor left of the bed,lamp,image540
what is the object on the floor in front of the wall,cabinet,image540
what is the largest object,bed,image541
what is the object on the floor in front of the cabinet,garbage_bin,image541
what is the object on the floor in front of the wall,cabinet,image543
what is the object on the floor in front of the table,chair,image552
what is the object on the floor left of the table,cabinet,image552
what is the object close to the wall above the counter,window,image575
what is the largest object,table,image577
what is the object close to the wall above the table,cabinet,image577
how many doors are open,1,image578
what is the largest object,cabinet,image578
what is the object on the floor in front of the desk,chair,image585
what is the object on the floor in front of the wall,cabinet,image585
what is the object on the table,lamp,image588
what is the largest object,sofa,image588
how many pictures are there on the wall,3,image588
what is the object close to the wall,picture,image589
how many sofas are there,2,image590
what is the on the floor in front of the window,table,image596
what is the object close to the wall behind the table,window,image596
how many chairs are there,3,image596
what is the object on the floor behind the table,sofa,image601
what is the object on the floor in front of the sofa,table,image601
what is the object on the table,television,image602
what is the object close to the wall,picture,image602
what is the object close to the wall behind the counter,window,image614
what are the objects on the shelf,books,image626
how many chairs are there,2,image629
what are the objects on the shelves,books,image629
how many sofas are there,3,image630
what is the object in front of the sofa,table,image630
what is the object close to the wall,television,image643
what is the object on the floor below the television,table,image643
what are the objects on the shelves,books,image646
what is the object above the sink,mirror,image648
what is the object above the sink,mirror,image649
what is the object above the toilet close to the wall,mirror,image659
what is the object close to the towel rod,towel,image659
what is the object close to the wall above to the towel rod,cabinet,image659
what is the object close to the towel rod,towel,image667
what is the object on the counter in the corner,mirror,image674
what is the object close to the towel rod,towel,image674
what is the object close to the wall above the counter,mirror,image682
what is the object close to the wall above the counter,mirror,image695
what is the object on the floor,garbage_bin,image703
what is the object close to the towel rod,towel,image705
what is the object close to the shelves,towel,image715
what is the object on the counter left of the hair dryer,towel,image720
what is the object above counter close to the wall,mirror,image720
what is the object close to the wall above the counter,mirror,image721
what is the object close to the towel rod,towel,image723
what is the object on the floor in the corner,garbage_bin,image730
what is the object on the counter right side of the sink,towel,image735
what is the object on the floor right of the bathtub,cabinet,image737
what is the object close to the wall above the counter,mirror,image738
what is the object close to the towel rod,towel,image739
what is the largest object,table,image748
what is the object left of the table,chair,image805
how many chairs are there,3,image815
what is the object close to the wall,picture,image815
what is the object below the counter,cabinet,image819
what is the object in the pull tray,garbage_bin,image826
what is the largest object,table,image828
what is the object below the table,chair,image829
what is the object on the floor below the table,chair,image864
how many chairs are there,4,image864
what is the object close to the refrigerator handle,towel,image872
how many chairs are there,1,image876
what is the object on the floor in front of the cabinet,garbage_bin,image876
what is the object on the floor in front of the cabinet,garbage_bin,image877
what is the object on the counter in the corner,television,image877
how many chairs are there,3,image878
what is the largest object,table,image878
how many chairs are there,4,image879
what is the object in front of the counter,chair,image880
what is the object below the counter,cabinet,image883
what is the largest object,table,image888
what is the object close to the wall,picture,image888
what is the object below the counter,cabinet,image892
what is the object below the counter,cabinet,image896
how many chairs are there,4,image900
what is the object close to the wall,picture,image900
what is the object below the counter,cabinet,image905
what is the object close to the wall,picture,image909
what is the object on the stool,lamp,image909
what is the object left of the screen,window,image911
what is the object right of the screen,cabinet,image911
how many chairs are there,1,image911
what is the object on the floor in front of the wall,television,image912
how many doors are open,1,image912
what is the object close to the wall above the table,television,image913
how many pictures are there close to the wall,2,image913
what is the object on the table,photo,image913
what is the object close to the wall above the bed,picture,image914
what is the object on the stool,lamp,image914
what is the largest object,bed,image914
what is the object on the floor right of the wall,chair,image915
how many doors are open,1,image915
what is the object close to the wall,picture,image915
how many windows are there,2,image920
what is the object on the floor in front of the wall,cabinet,image920
what is the largest object,bed,image921
what is the object close to the wall,picture,image921
what are the object close to the wall right of the door,books,image922
what is the object on the floor in front of the wall,table,image922
what is the object close to the wall above the cabinet,mirror,image923
what is the object on the floor in front of the wall,cabinet,image923
how many doors are open,2,image925
what is the object on the floor left side of the wall,chair,image925
what is the largest object,cabinet,image925
how many beds are there,2,image931
what is the object on the floor in front of the cabinet,garbage_bin,image931
what is the object close to the wall above the stool,window,image937
what is the object on the bed,pillow,image940
what is the object on the floor left of the bed,cabinet,image940
what is the largest object,bed,image941
what is the object on the floor left of the bed,cabinet,image941
what is the largest object,bed,image953
what is the object on the blanket,clothes,image953
what are the objects on the shelf,books,image953
how many chairs are there,1,image957
what is the object on the floor behind the chiar,bed,image957
what is the object close to the wall,clothes,image957
what are the objects in the shelves,books,image979
what is the object close to the wall right of the shelf,window,image979
what is the object on the floor in front of the window,table,image979
what is the largest object,bed,image980
what is the object on the stool,television,image980
what is the object on the stool,lamp,image982
what is the object close to the wall above the table,mirror,image982
what are the objects on the table,books,image982
what is the largest object on the table,lamp,image986
what is the largest object,bed,image986
how many chairs are there,1,image986
what is the object on the stool,books,image987
what is the largest object,bed,image987
what is the largest object on the table,lamp,image988
how many chairs are there,1,image988
what is the object on the bed,pillow,image988
what is the object close to the rack,photo,image989
what is the largest object,bed,image989
what is the object on the floor left of the bed,chair,image989
what is the object on the floor right of the shelf,garbage_bin,image990
what is the object close to the wall,mirror,image990
what are the objects on the shelf,books,image990
how many lamps are there,2,image996
what is the largest object,bed,image996
what is the largest object,bed,image998
what is the object on the stool,lamp,image998
what is the object on the floor in front of the cabinet,books,image998
what is the object close to the wall,picture,image1007
what is the largest object,bed,image1007
what are the objects on the bed,clothes,image1007
what is the object close to the wall,picture,image1014
what is the largest object,bed,image1014
what is the object close to the wall,picture,image1019
how many beds are there,2,image1019
how many doors are open,1,image1019
how many beds are there,2,image1020
what is the object close to the wall,picture,image1026
what is the object on the floor in front of the wall,sofa,image1026
what is the largest object,bed,image1027
what is the object on the stool,lamp,image1027
what is the largest object,bed,image1029
what is the object on the stool,lamp,image1029
what is the object close to the wall,picture,image1029
what is the object on the floor in front of the wall,bed,image1036
how many doors are open,1,image1037
what is the object on the chair,clothes,image1037
what is the object on the floor close to the wall,cabinet,image1037
how many chairs are there,1,image1040
what are the objects in the shelves,books,image1040
what is the object on the floor in front of the wall,bed,image1040
how many beds are there,2,image1042
what is the object close to the wall,picture,image1042
what is the object on the floor in front of the wall,cabinet,image1042
what is the object on the floor in front of the wall,cabinet,image1043
what is the object on the floor right of the cabinet,bed,image1043
what is the object on the floor in front of the wall,cabinet,image1051
what is the object on the floor in front of the shoes,garbage_bin,image1051
what is the object on the floor in front of the wall,cabinet,image1055
what is the object on the floor right of the cabinet,bed,image1055
what is the object on the bed,pillow,image1055
how many beds are there,2,image1055
what is the object close to the wall left of the bed,window,image1055
what is the largest object,bed,image1063
what is the object close to the wall,picture,image1063
what is the object on the second shelf,photo,image1065
what is the object on the floor in front of the wall,cabinet,image1065
what is the largest object,bed,image1066
what is the object on the floor right of the stool,garbage_bin,image1068
how many chairs are there,1,image1068
what is the object on the stool,lamp,image1086
how many sofas are there,2,image1086
what is the object close to the wall,mirror,image1086
what is the largest object,bed,image1097
what is the object close to the wall above the stool,window,image1097
what is the largest object,bed,image1105
what is the object close to the wall above the bed,window,image1105
what is the largest object,bed,image1116
what is the object on the bed,pillow,image1116
what is the object close to the wall,picture,image1116
what is the object on the bed,pillow,image1116
what is the largest object on the stool,lamp,image1116
what is the largest object,bed,image1133
how many pillows are there on the bed,2,image1133
what is the object on the stool,lamp,image1133
what is the object on the stool,television,image1138
what is the largest object,bed,image1138
what is the object behind the bed,lamp,image1138
what is the largest object,bed,image1141
what are the objects on the shelf,books,image1141
what is the object close to the wall left of the shelf,window,image1141
what is the object on the cabinet,photo,image1159
how many pictures are there close to the wall,2,image1159
what is the largest object,cabinet,image1159
how many pictures are there close to the wall,3,image1161
what is the object on the floor in front of the wall,table,image1161
what is the largest object on the table,lamp,image1161
what is the largest object,bed,image1168
how many pillows are there on the bed,2,image1168
how many brown ladders are there,1,image6
how many black cameras are hanging next to the wall,3,image6
how many monitors are there,3,image7
how many black cameras are there,5,image7
how many clockes are on the white wall above the telephon,1,image8
what is the green object behind the chair nest to the telephon and clock,curtain,image8
how many green objects are there,1,image8
how many large cobalt objects are there,1,image10
how many printers are there,2,image11
how many white stapler are there on the table,3,image11
how many peices of paper are there on the white wall behind the paper rack,2,image12
how many pictures are above the clock on the white second right cabinet,2,image13
how many white monitors are there,1,image13
how many fans are there,1,image13
how many mauve swivel chairs are there,1,image19
what is the cobalt object on the floor and next to the table,garbage_bin,image22
how many black swivel chairs are there in front of the white wall,1,image23
how many black telephones are there on the light brown table,1,image23
how many staplers are there on the light brown table under the bookshelf,2,image24
how many printers are there,1,image25
how many rulers are there,1,image25
how many red chairs are there,5,image27
how many toothbrushes are there,2,image44
what color is the sink,white,image48
how many blue electronic tooth brushes are there,1,image49
how many cobalt tooth brushes are there,2,image49
what is the large camel object on the right side,sofa,image50
what color is the couch,brown,image50
how many lamps are there,1,image50
how many pillows are there on corner of the camel couch,1,image50
how many black armchairs are there next to the white wall,1,image51
what is the largest object,bookshelf,image51
how many bananas are there in the black plate,2,image52
what is the large object on the white wall behind the white candles,mirror,image52
how many objects are there on the wall,2,image54
how many brown pillows are there on the bed,2,image58
how many objects are there on the wall,1,image58
how many white pillows are there on the bed,1,image64
how many black objects are there,1,image65
what is the largest object,1,image66
what is the large white object in the left side of the light brown dresser,curtain,image66
how many brown objects are there,1,image66
what is the largest object,bookshelf,image67
what color is the dresser,brown,image68
what solor is the bookshelf,brown,image69
how many pink bags are there,1,image69
how many pillows are there in on the bed,2,image70
how many candles are there,2,image1379
how many mirrors are on the wall,1,image1405
how many purple chairs are there,1,image1419
how many windows are there,1,image1438
how many pillows are there on the sofa in the right side of the man,2,image229
how many windows are there,3,image1324
what color is the microwave,white,image791
how many windows are there,4,image275
what color is the ball next to the bed,red,image1185
how many monitors are there,1,image819
how many pillows are there on the big couch,2,image368
what color is the chair,red,image256
what is the object above the toilet and the sink,mirror,image738
what color is the garbage bin,white,image826
how many dressers are there,2,image1047
how many tables are there,2,image1419
how many sinks are there,2,image735
how many windows are there,3,image748
how many brown round tables are there,2,image227
how many chairs are there,1,image887
how many rectangle frames are there on the wall and above the lamp,1,image217
what color is the telephone,black,image856
what color is the board,black,image323
how many frames are there on the wall and above the dresser,3,image921
how many objects are there on the white blanket,1,image953
what is the big black object next to the books,television,image1251
what color is the roll of paper towels,1,image252
how many dark brown chairs are there around the table,3,image799
how many black chairs are there next to the table,2,image596
how many towels are there,3,image674
how many laptops are there,1,image146
what is the big white object in the right side of the brown bed,pillow,image398
how many white knives are there,2,image898
how many squer tables are there,1,image342
what is the object in front of the window,curtain,image1113
how many beds are there,2,image931
where are the books,bookshelf,image627
what is largest object,table,image1359
how many sofas are there,2,image598
how many light brown desks are there in front of the white wall and behind the dark brown chair,1,image1173
how many white candles are there,3,image1428
how many beds are there,2,image1186
how many dark brown squere tea table are there,1,image419
how many blue tables are there,1,image319
what is the white object in front of the wall,towel,image665
what color are the cabinets,brown,image138
what color is the sofa,brown,image1311
how many mirrors are there on the wall and next to the window,1,image990
how many blue chairs are there around the round table,4,image322
what color is the garbage bin,white,image952
what color are the armchairs,brown,image379
how many televisions are there,1,image595
what color is the blanket,white,image1105
how many frames are there on the wall,3,image1161
what color is the dresser,brown,image1055
what color is the door,white,image485
how many frames are there on the wall,1,image888
how many green lamps are there on the desk,1,image585
what color are the bed sheets,white,image1140
how many laptops are there,1,image376
how many televisions are there,1,image164
how many plants are there,2,image900
what is the biggest object,bed,image914
what color are the bed sheets,red,image989
how many picture frames are there on the wall,3,image1017
how many plum pillows are there on the brown carpet and next to the bed,1,image1063
how many toilet papers are there,5,image704
how many chairs are there,3,image901
what color is the swivel chair,black,image624
what color is the television,black,image402
what color is the towel,white,image729
what is the white object in the left side of the toilet,garbage_bin,image497
how many armchairs are there,2,image1232
what color are the cabinets,brown,image796
how many beds are there,1,image950
how many black chairs are there in front of the white wall,2,image615
how many pillows are there on the sofa,1,image1267
how many chairs are there,1,image831
what color is the table,black,image1273
how many red pillow are there on the bed next to the black pillow,2,image978
what color is the bed,brown,image535
what is in front of the table,chair,image4
what is the largest item,table,image5
how many speakers are there in the room,3,image5
what is the colour of the computer,black,image6
how many monitors are there,3,image7
how many speakers are there,5,image7
what is in front of the closed door,garbage_bin,image8
what is there in front of the screen,chair,image8
how many doors are open,1,image8
how many machines are there,3,image10
what is the color of the rack placed above the table,white,image10
what is the color of box that has nyu printed on it,white,image12
how many doors are there in the room,5,image12
what is the color of the computer monitor,white,image13
how many pictures are stuck around the clock,5,image13
what is the colour of the chair near the stacked chairs,red,image19
what is the largest object,table,image20
how many tables are there,3,image20
what is left of the table,garbage_bin,image22
how many framed pictures are there,1,image23
how many sticky notes are there on the poster board,2,image23
how many shelf racks are there on the wall,3,image24
how many doors are there on the cupboard,4,image24
how many stacks of paper are there on the table,2,image25
how many blinds are there,1,image26
how many blinds are visible,2,image27
how many doors does the cupboard have,2,image44
how many framed pictures are there,2,image44
how many tooth brush are there,2,image45
how many bottles are there,2,image48
what is the colour of the bath tub,white,image48
how many tooth brushes are there,3,image49
how many doors are there in the cupboard beneath the wash basin,2,image49
how many lights are there,2,image50
what is the largest object that is hung on the wall,picture,image50
what is behind the left most lamp,blinds,image50
what are predominantly filled in the rack,books,image51
how many sofas are there,2,image51
how many pictures are there,4,image51
how many books shelves are there,3,image52
what is beneath the letter stand,garbage_bin,image53
what is the colour of the floor,brown,image53
